Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
363f54b9-0818-955e-a2bf-d6dd285ba76e,1982-09-24,,999-83-6637,S99986171,X76947459X,Mr.,Brian582,Bradford382,Miller503,,,M,white,nonhispanic,M,Amherst  Massachusetts  US,939 Streich Crossing Suite 69,Southborough,Massachusetts,Worcester County,,00000,42.2554498390064,-71.50164608241953,115456.37,19105.52,989268
900bef8d-69f8-a8fc-20a9-62ac49b7fc53,1978-11-05,,999-93-4755,S99929711,X12974699X,Mr.,Lucien408,Dale454,Torphy630,,,S,asian,nonhispanic,M,Delhi  Delhi  IN,232 Botsford Trail,Somerville,Massachusetts,Middlesex County,25017,02155,42.40463860757635,-71.05276635899588,33215.80,109243.16,126601
a0fa0b4a-7dcc-b6fd-d6f9-947b9c092407,2001-09-10,,999-10-5550,S99981336,X27085208X,Ms.,Nery414,Raeann749,Rempel203,,,,white,nonhispanic,F,Sudbury  Massachusetts  US,730 Berge Promenade,Hingham,Massachusetts,Plymouth County,25023,02043,42.17152519698857,-70.87691673537415,96009.75,233122.55,47021
a1a6035a-93e5-ce09-c762-821a246b6f54,2009-07-13,,999-47-5390,S99935868,,,Adriane398,Willette878,Willms744,,,,black,nonhispanic,F,Randolph  Massachusetts  US,687 Aufderhar Street Unit 33,New Bedford,Massachusetts,Bristol County,25005,02744,41.69392609550872,-70.89789572102053,48249.86,3961.73,65187
4c3962bf-7dc1-2653-36c1-446346f58f66,1989-05-25,,999-94-7808,S99944366,X92823510X,Mr.,Scot349,Carmine137,Barrows492,,,M,white,nonhispanic,M,Wilmington  Massachusetts  US,202 Koelpin Estate Unit 8,Billerica,Massachusetts,Middlesex County,,00000,42.55203434231477,-71.2343034062841,123787.74,3503.29,109322
14e1b200-3938-48be-3f88-1a6f14a61dcb,2019-07-24,,999-88-2965,,,,Gilberto712,Doug189,Hartmann983,,,,white,nonhispanic,M,Newton  Massachusetts  US,197 Kuhlman Bay,Plymouth,Massachusetts,Plymouth County,25023,02360,41.91526040176592,-70.58903941831622,24809.13,3772.04,82003
20e7c563-99ad-b56d-fe9c-6bd42bba68d3,1960-07-05,,999-15-2685,S99976150,X54145342X,Ms.,Lilian665,Mathilde204,Morar593,,,S,white,nonhispanic,F,Westfield  Massachusetts  US,656 Harvey Neck Apt 52,Worcester,Massachusetts,Worcester County,25027,01607,42.27475598086917,-71.77839583682899,398965.05,76430.44,56912
7d8546eb-f1ae-7603-c447-d2d095fc5309,1958-07-04,,999-39-4809,S99910652,X36620927X,Mr.,Winford225,Leonel449,Bartoletti50,,,S,white,nonhispanic,M,Chicopee  Massachusetts  US,193 Macejkovic Alley Unit 92,Bourne,Massachusetts,Barnstable County,25001,02532,41.72568222329744,-70.5961836441362,27631.12,885924.16,19626
e7386988-332f-de84-707d-ab3f804c1576,1957-05-03,,999-36-8287,S99918278,X28694046X,Mr.,Lionel365,Jess275,Bins636,,,M,white,nonhispanic,M,Wilmington  Massachusetts  US,879 Bradtke Rest Unit 56,Paxton,Massachusetts,Worcester County,,00000,42.290292189145454,-71.92383071125644,74566.12,746866.13,72780
58a77c0c-6b0b-0dd0-57d1-561f18f0b428,1992-06-08,,999-59-3032,S99984575,X64183153X,Mr.,Tristan353,Nathanial472,Cronin387,,,M,hawaiian,nonhispanic,M,Revere  Massachusetts  US,434 Weissnat Skyway,Boston,Massachusetts,Suffolk County,25025,02152,42.345543472623795,-71.06787662171257,70538.10,664220.51,27081
3a499035-df1e-c10b-25a4-e021cd53978f,1971-05-30,,999-45-8398,S99953061,X85121262X,Mr.,Chase54,Shelton25,Zieme486,,,D,white,nonhispanic,M,East Bridgewater  Massachusetts  US,115 Sanford Frontage road,Merrimac,Massachusetts,Essex County,,00000,42.868632121205565,-71.01363708327062,117735.36,7311.92,59912
54be5a86-b509-4f2b-b8ff-dd6ec38e21b1,1943-05-24,,999-81-3782,S99981332,X81034704X,Mrs.,Billi682,Cori307,Hessel84,,Smith67,M,black,nonhispanic,F,Brookline  Massachusetts  US,1013 Reichert Throughway,Fitchburg,Massachusetts,Worcester County,25027,01420,42.62443891705001,-71.85058278685521,868601.99,798214.09,37017
e03a6bd8-c4be-b132-3d40-872469885f6a,1969-08-13,,999-73-1049,S99972096,X05153344X,Mr.,Donny470,Jaime666,Hettinger594,,,M,asian,nonhispanic,M,Dennis  Massachusetts  US,622 Ernser Overpass,Boston,Massachusetts,Suffolk County,25025,02130,42.381102721384,-71.01161547635475,142235.16,90231.46,73401
22be82ef-2492-57db-5287-b34662cf1c56,1973-01-11,,999-50-3993,S99935427,X61674193X,Mrs.,Megan108,Stephnie566,O'Connell601,,Kerluke267,M,white,nonhispanic,F,Monson Center  Massachusetts  US,688 Franecki Well Apt 15,Plainville,Massachusetts,Norfolk County,,00000,42.02472846207755,-71.29887264182933,174875.11,52829.01,50042
6d55c1c1-a928-117e-f207-6b194070b37d,1973-06-30,,999-69-3064,S99990075,X19167006X,Mrs.,Claudine313,Lyla842,Kirlin939,,Gerhold939,M,asian,nonhispanic,F,Lynn  Massachusetts  US,848 Ullrich Underpass Unit 76,West Yarmouth,Massachusetts,Barnstable County,25001,02673,41.66243565177648,-70.20178075910798,18171.76,1203039.53,23194
3b71fbfd-f2f0-8338-247a-b8d69c53d03f,1989-09-17,,999-51-8310,S99966689,X59363395X,Mr.,Rob341,Herman763,Reilly981,,,D,white,nonhispanic,M,Taunton  Massachusetts  US,102 Stark Route Suite 39,Braintree,Massachusetts,Norfolk County,25021,02184,42.16837054498065,-70.9936881735589,6352.52,93523.37,16905
d2078200-2e2a-85ef-4bbd-cb36f1f60525,1979-05-16,2022-02-01,999-20-8604,S99984965,X05952948X,Mr.,Van763,,Prosacco716,,,D,white,nonhispanic,M,Newton  Massachusetts  US,1061 Frami Union Unit 14,Weymouth,Massachusetts,Norfolk County,25021,02190,42.25318849038895,-70.9081528440052,50700.35,69807.51,365755
2b815ea0-5bee-704d-3c59-85e9b377f05b,1944-12-31,2022-03-17,999-24-7841,S99914109,X94441518X,Mr.,Tomas436,Reginald96,Daugherty69,,,M,white,nonhispanic,M,Lynn  Massachusetts  US,961 Watsica Harbor,New Bedford,Massachusetts,Bristol County,25005,02745,41.59612426743083,-70.96094785581722,13127.75,262498.50,10390
e0a5b812-6885-12b4-951a-e477cf889292,1979-05-16,,999-97-9073,S99979883,X75322021X,Mr.,Daren950,Mel236,Leannon79,,,M,white,nonhispanic,M,Everett  Massachusetts  US,354 Altenwerth Plaza,Weymouth,Massachusetts,Norfolk County,25021,02189,42.17601302954535,-70.99718381266281,80180.70,17632.91,365755
7d1ae655-5c3d-7cfb-4ae7-97e9a595826b,1975-01-26,,999-12-8400,S99974408,X03255484X,Mr.,Wilmer32,Salvatore257,Vandervort697,,,D,white,nonhispanic,M,Agawam  Massachusetts  US,326 Botsford Port Apt 28,Lynn,Massachusetts,Essex County,25009,01901,42.430536150129676,-71.06167359173807,162985.94,0.00,76439
bdd2f35d-8c08-2bba-4137-05a5c9295df4,2023-11-29,,999-64-1626,,,,Sharita792,Marth98,Littel644,,,,white,nonhispanic,F,Wilbraham  Massachusetts  US,412 Herzog Camp,Brockton,Massachusetts,Plymouth County,25023,02302,42.12147791174094,-71.0627852452696,6187.89,7255.56,64922
6c08c959-7ad0-f14a-a833-6bd5a1f564ba,1966-05-04,2000-09-14,999-73-2220,S99946511,X89801959X,Mrs.,Daphne852,Chaya236,Pollich983,,McLaughlin530,M,white,nonhispanic,F,Chicopee  Massachusetts  US,815 Flatley Trail Apt 49,Boston,Massachusetts,Suffolk County,25025,02134,42.31106630915137,-71.00203232268338,24715.98,1218469.70,13102
0878e1ee-2f0c-ad7b-3f3b-304da8644fa3,1972-07-13,,999-77-9114,S99973220,X67992847X,Ms.,Elza246,,Padberg411,,,S,white,nonhispanic,F,Swansea  Massachusetts  US,1025 Friesen View,Sutton,Massachusetts,Worcester County,,00000,42.08684426879943,-71.75739153821493,166981.99,677820.69,184237
4a1ee160-2f22-6e49-bb4a-f1b15ab048e8,1973-11-24,,999-23-3279,S99959058,X00566679X,Mr.,Cletus494,Alexander630,Klein929,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,597 Mayert Ranch Suite 15,Easthampton,Massachusetts,Hampshire County,25015,01027,42.274871128399205,-72.65716603768236,258070.78,604.20,55401
3ec08f24-5e3e-25af-1a0d-1fc4f809b3b7,1944-12-31,,999-54-4766,S99936001,X06218326X,Mr.,Von197,Kris249,Brekke496,,,S,white,nonhispanic,M,Lynn  Massachusetts  US,818 Sipes Ranch,New Bedford,Massachusetts,Bristol County,25005,02740,41.64732734056397,-70.88843642382169,19488.75,449976.46,10390
ea2617fb-4092-c7d3-3e74-757bae134d01,2001-06-10,,999-51-2076,S99966549,X67006298X,Mr.,Rubén780,,Gallegos952,,,,white,hispanic,M,Santiago  Santiago Province  CL,397 Gusikowski Loaf Suite 98,Sutton,Massachusetts,Worcester County,,00000,42.096586208647324,-71.74699637932736,88368.33,28179.83,182215
a64c19f6-2d08-c414-3b43-f85316d89707,2013-11-06,2024-12-04,999-71-6766,,,,Quinn173,Rashida558,Littel644,,,,white,nonhispanic,F,Worcester  Massachusetts  US,952 Daniel Club,Westfield,Massachusetts,Hampden County,25013,01086,42.17173983515757,-72.73564424847395,34669.98,38769.22,52931
fe60a849-26d0-6c70-85ae-43b61f5ccc08,1966-05-04,,999-28-9737,S99930866,X89370549X,Mrs.,Milda157,Martha161,Kohler843,,Jones311,M,white,nonhispanic,F,Tyngsborough  Massachusetts  US,210 Muller Light Suite 47,Boston,Massachusetts,Suffolk County,25025,02124,42.32697207090666,-71.09480524734515,20960.71,1553197.31,13102
d83fbff7-c1ef-3cf3-c624-8fdf924cfdd0,2013-11-06,,999-98-5766,,,,Reina25,,Bins636,,,,white,nonhispanic,F,Boston  Massachusetts  US,998 Lueilwitz Underpass Apt 42,Westfield,Massachusetts,Hampden County,25013,01085,42.1696787814114,-72.80576834433529,46297.49,19986.25,52931
2379fdbe-920a-20d8-7774-c059a563d319,2007-07-15,,999-49-8058,S99973480,,Ms.,Reina25,Alicia629,Chavarría957,,,,white,hispanic,F,Tegucigalpa  Francisco Morazán  HN,399 Rodriguez Flat Suite 46,Swampscott,Massachusetts,Essex County,25009,01907,42.494271261069194,-70.89767315952042,3812.69,78190.84,12091
572aefa6-ff41-613b-07e7-da0c705e64df,1937-01-26,2019-06-28,999-33-8415,S99961830,X39734629X,Mrs.,Bell723,Lanell756,Wisozk929,,Dickens475,M,white,nonhispanic,F,Charlton  Massachusetts  US,946 Predovic Green,Newton,Massachusetts,Middlesex County,25017,02461,42.30389605857783,-71.21073071893046,1056283.71,431764.22,50928
61ae8e2d-e866-bb25-6fb9-b8c7c95e8de9,1962-08-22,,999-43-3919,S99922655,X60533990X,Mrs.,Virgina372,Casie505,Stoltenberg489,,Welch179,D,white,nonhispanic,F,Boston  Massachusetts  US,899 Lehner Union Unit 73,Somerville,Massachusetts,Middlesex County,25017,02145,42.39972876254582,-71.10419856273676,568189.53,354803.30,63295
bbbde012-2b40-2893-0b2d-c7faacdecfb4,1995-02-05,,999-46-7311,S99942789,X57912214X,Mrs.,Maricela194,Enedina292,Barrows492,,Treutel973,M,white,nonhispanic,F,Lawrence  Massachusetts  US,976 Reichert Meadow,Sandwich,Massachusetts,Barnstable County,25001,02563,41.68782321694451,-70.51628792562856,69217.34,157769.74,38960
6301e254-32b5-7f4b-4131-b8750cc863c8,2008-04-10,,999-82-6296,S99935817,,Ms.,Hollie21,Anne636,Walker122,,,,white,nonhispanic,F,Marseille  Provence-Alpes-Cote d'Azur  FR,428 Hilpert Mill Apt 79,Amherst,Massachusetts,Hampshire County,,00000,42.39219217569777,-72.47003377442937,66561.06,8174.75,120232
24d88600-9461-ea07-2a88-ff90dc8f5028,1963-01-04,,999-59-1704,S99942117,X87058212X,Mr.,Guillermo498,Kelly223,Berge125,,,W,white,nonhispanic,M,Worcester  Massachusetts  US,1093 Bahringer Overpass Suite 7,West Boylston,Massachusetts,Worcester County,,00000,42.334127977525974,-71.7646192791136,234635.00,98978.28,66490
2527c544-c3ce-5745-6703-833c50a9ce37,1973-03-22,,999-85-3200,S99947902,X72058188X,Mr.,Cliff504,Emil691,Leannon79,,,M,white,nonhispanic,M,Cohasset  Massachusetts  US,423 Sipes Run Apt 22,Worcester,Massachusetts,Worcester County,25027,01610,42.21395083436145,-71.82815798441369,88752.86,29014.56,86829
61473392-49bb-1851-f1cb-c2ec0337bd6b,1937-01-26,1995-05-25,999-13-4535,S99920986,X76042509X,Mrs.,Robbin22,Sonia106,Rice937,,Schoen8,M,white,nonhispanic,F,Mashpee  Massachusetts  US,518 Boyle Extension,Newton,Massachusetts,Middlesex County,25017,02464,42.35710522874832,-71.16571438003045,788162.51,159454.35,50928
98bb3b43-c2bd-b1e8-48fb-d03d733949a8,1957-06-06,2001-11-12,999-64-1191,S99961948,X99029495X,Mr.,Eusebio566,Kendall673,Nolan344,,,M,black,nonhispanic,M,Watertown  Massachusetts  US,369 Swift Road Suite 68,Salem,Massachusetts,Essex County,25009,01907,42.48127378105949,-70.88787702078643,8308.80,91507.92,16218
083864a1-ccf4-dac8-747a-cf7dbb080de4,2015-07-03,,999-10-6901,,,,Rebekah348,Cruz300,Powlowski563,,,,white,nonhispanic,F,Franklin  Massachusetts  US,171 Runolfsdottir Station,Maynard,Massachusetts,Middlesex County,25017,01754,42.469737111714814,-71.47848871212823,51185.59,0.00,65776
2388affb-65b9-640b-5331-ae809829b583,1995-01-02,,999-15-4850,S99914813,X65478028X,Mrs.,Gretta175,,Hoppe518,,Champlin946,M,white,nonhispanic,F,Natick  Massachusetts  US,1026 Denesik Union Unit 44,Raynham,Massachusetts,Bristol County,,00000,41.97685679652116,-71.03300354131869,174490.34,381130.87,170157
0f7a3c8c-0871-0b1c-b633-9d3ea1ea97c1,2018-04-30,,999-27-9768,,,,Martin117,,Ruecker817,,,,black,nonhispanic,F,Quincy  Massachusetts  US,800 Buckridge Alley,Wenham,Massachusetts,Essex County,,00000,42.56652432566161,-70.84618971688245,24515.40,9901.68,371083
36362114-0c2d-fbd3-2dc9-bea1aafdda93,1985-08-11,,999-46-3871,S99997241,X98296874X,Mrs.,Rene434,Isidra572,Reilly981,,Torphy630,M,black,nonhispanic,F,Somerville  Massachusetts  US,291 Rempel Crossing Suite 57,Agawam,Massachusetts,Hampden County,25013,01001,42.09721956851028,-72.67347783483098,256657.78,337887.85,82662
90e84654-3b4b-9b09-a079-bc69e215e2b3,1975-01-07,,999-90-2862,S99919180,X84989668X,Mr.,Alvaro283,,Carroll471,,,M,white,nonhispanic,M,Whitinsville  Massachusetts  US,529 Donnelly Trailer,Boston,Massachusetts,Suffolk County,25025,02151,42.370138628414885,-71.06935333443836,8029.75,162074.06,7228
8859fbb8-6bd3-7ab3-652b-07f4fce5cb14,1937-01-26,2021-07-23,999-13-8789,S99976145,X94156602X,Mrs.,Autumn454,Pansy803,O'Kon634,,Hagenes547,W,white,nonhispanic,F,Springfield  Massachusetts  US,454 Dibbert Parade,Newton,Massachusetts,Middlesex County,25017,02468,42.353263125215676,-71.23883495336413,1006939.89,339730.49,50928
befa0464-57f4-5f9f-fd64-3de9426c7ba3,2005-11-07,,999-59-3223,S99912523,X83217598X,Mr.,Harland508,Armando772,Bergstrom287,,,,white,nonhispanic,M,Mendon  Massachusetts  US,650 Hauck Trafficway Apt 61,Boston,Massachusetts,Suffolk County,25025,02210,42.34233927263652,-71.08408592773198,4666.70,71990.32,13822
54247c4d-5024-65cc-0a58-f60b9a79cc6e,1964-04-05,,999-66-5944,S99914986,X94471063X,Mrs.,Branda994,Shirly501,McGlynn426,,Rath779,M,white,nonhispanic,F,Springfield  Massachusetts  US,192 Kuhn Bypass Suite 16,Millbury,Massachusetts,Worcester County,,00000,42.179276818326834,-71.73054542027101,1065360.53,563039.34,40027
678aa883-5f54-eea1-1eb5-647a4a7271e2,2012-05-21,,999-50-3916,,,,Spring819,,Lehner980,,,,white,nonhispanic,F,Southampton  Massachusetts  US,771 Streich Parade Suite 48,Boston,Massachusetts,Suffolk County,25025,02203,42.32671546018484,-71.07522492981856,2954.92,51349.51,1624
a4f9296b-280b-c0ea-ea8b-d98627ea90f6,1996-09-09,,999-99-6901,S99997282,X97849227X,Mrs.,Mollie266,Janeen273,Krajcik437,,Kilback373,M,white,nonhispanic,F,Lexington  Massachusetts  US,155 Prosacco Harbor,Leicester,Massachusetts,Worcester County,,00000,42.19539524132128,-71.93526486014407,400529.34,76563.23,99640
c1de6a76-137a-0bb6-c817-266d9d8474f0,2000-11-04,,999-17-5441,S99965032,X64826083X,Mr.,Gail741,Reed154,Pagac496,,,,white,nonhispanic,M,Boston  Massachusetts  US,695 O'Hara Green,Milford,Massachusetts,Worcester County,25027,01757,42.183178055902495,-71.54710084657881,67964.63,6260.78,69990
f55ee39f-eebf-8aa7-74bc-9df883ba8e6e,1973-05-27,,999-22-3698,S99913430,X33766565X,Mrs.,Earleen680,Ellis535,Frami345,,Doyle959,M,white,nonhispanic,F,Taunton  Massachusetts  US,183 Murphy Route Apt 77,Needham,Massachusetts,Norfolk County,25021,02492,42.274903410957315,-71.26876456370985,123489.62,853204.70,841808
07868381-3a4e-57a4-8d9f-7bef8cfa5972,2014-11-27,,999-89-7335,,,,Johnson679,Frankie174,Schamberger479,,,,white,nonhispanic,M,Boston  Massachusetts  US,466 Wehner Skyway,Lawrence,Massachusetts,Essex County,25009,01843,42.73704145457992,-71.13663418482844,1875.17,25748.45,15013
380518ce-9aed-542b-b445-c5b472ff3e5e,1937-01-26,,999-80-6256,S99999389,X18198111X,Mrs.,Paulina892,Daniell603,Schowalter414,,Gleason633,M,white,nonhispanic,F,Medford  Massachusetts  US,320 Erdman Throughway,Newton,Massachusetts,Middlesex County,25017,02468,42.338811514468624,-71.25502499236526,696683.46,294729.91,50928
50ef8d87-401c-ebd9-8415-4aa041256057,1957-06-06,,999-53-8897,S99922448,X60300950X,Mr.,Alphonso102,Nathaniel596,Daugherty69,,,M,black,nonhispanic,M,Rehoboth  Massachusetts  US,479 Rempel Bridge Suite 75,Salem,Massachusetts,Essex County,25009,01907,42.43108991851796,-70.91560239064385,25983.00,669311.08,16218
cc8ade2c-9bf4-3ebe-a44c-fa8d2b4b89f7,1988-11-15,,999-63-3003,S99970711,X35196556X,Mrs.,Rosaura15,,Auer97,,Dooley940,M,white,nonhispanic,F,Quincy  Massachusetts  US,240 Halvorson Junction,Groton,Massachusetts,Middlesex County,25017,01450,42.57065230645014,-71.55272017170763,116141.52,380729.18,212388
03e7b514-660c-1cd6-b5d8-ecf9986e7992,1979-01-09,2026-05-23,999-55-1679,S99922048,X27351031X,Ms.,Barbara209,Shawn523,Roberts511,,,S,white,nonhispanic,F,Holden  Massachusetts  US,112 Nolan Boulevard,North Andover,Massachusetts,Essex County,,00000,42.682213259104174,-71.04468221756282,160545.65,1021904.70,101096
3fe24809-a398-91fb-88a5-9eec362d2727,1970-03-26,,999-22-5435,S99915875,X92665547X,Mrs.,Soledad678,,Frías523,,Domínquez36,M,white,hispanic,F,Bogota  Bogota  CO,326 DuBuque Loaf Suite 67,Worcester,Massachusetts,Worcester County,25027,01545,42.235060108222704,-71.82725474005869,41686.09,909559.79,178783
4cd0a640-e29a-1ad6-0b59-13546f74fae9,2007-04-23,,999-84-5176,S99980000,,Ms.,Angelena945,Laquanda221,McDermott739,,,,white,hispanic,F,Northborough  Massachusetts  US,259 Daniel Skyway Apt 11,Springfield,Massachusetts,Hampden County,25013,01104,42.12331267700164,-72.4804435298307,62276.84,270518.77,56332
a4187e4a-2e2b-da9b-5e54-6b0f6291a75d,1997-11-26,,999-10-6164,S99928980,X77330073X,Mr.,Jere230,,Erdman779,,,M,asian,nonhispanic,M,Busan  Busan  KR,855 Hamill Route Apt 32,Marlborough,Massachusetts,Middlesex County,25017,01752,42.37239189637033,-71.58625330189223,73091.83,44225.57,594606
2f810a9c-7eee-9941-7d51-bfc20566a350,1973-07-06,,999-95-1100,S99968833,X94833644X,Mrs.,Felicia295,Jessica140,Metz686,,Bode78,M,white,nonhispanic,F,North Attleborough  Massachusetts  US,848 Nitzsche Track Unit 19,Malden,Massachusetts,Middlesex County,25017,02148,42.45483048020831,-71.08138615424178,606379.29,107143.64,66126
647919db-1d51-b6e9-8eb5-f9f3f6f34f6a,1979-01-09,,999-44-4981,S99964157,X94524411X,Mrs.,Kasandra729,Emelia239,Kirlin939,,Tillman293,M,white,nonhispanic,F,Milton  Massachusetts  US,999 Wintheiser Mill Apt 89,North Andover,Massachusetts,Essex County,,00000,42.62989483134913,-71.14100708354356,194248.66,3308.20,101096
2e22908d-5adb-d943-00c8-21376a4d9ddb,2021-02-14,,999-23-7290,,,,Erwin847,Mervin111,Kemmer137,,,,white,nonhispanic,M,Rehoboth  Massachusetts  US,495 Heidenreich Camp,Belchertown,Massachusetts,Hampshire County,25015,01007,42.29547491059919,-72.43991063991263,700.00,9367.89,15760
c6afa903-a9c5-943b-401e-fbf2a459d887,2002-10-19,,999-78-3893,S99979402,X27008139X,Mr.,Antonio44,Wilson960,Bergstrom287,,,,white,nonhispanic,M,Beverly  Massachusetts  US,458 Leannon Run Unit 46,New Bedford,Massachusetts,Bristol County,25005,02747,41.51409188825682,-70.94307225037835,72693.88,0.00,105998
dd3ef65f-af06-ca3f-4c5a-5ee9a1913da7,2014-07-28,,999-63-1658,,,,Karlyn611,Jesus702,Schuppe920,,,,white,nonhispanic,F,Stoneham  Massachusetts  US,352 Dickens Heights,Ayer,Massachusetts,Middlesex County,25027,01434,42.54693026121054,-71.60213168503316,46968.89,11783.51,122363
855fe537-3bc8-bb08-8a67-0dd8e8a977d2,1966-05-29,,999-35-4948,S99977308,X60709573X,Mr.,Hunter736,,Towne435,,,M,asian,hispanic,M,Cambridge  Massachusetts  US,1044 Hartmann Way,Boston,Massachusetts,Suffolk County,25025,02131,42.371857020126136,-71.09000408868305,10291.67,282615.82,3738
69062007-e6cc-c058-2b58-5e4287865aad,2001-09-05,,999-63-2127,S99921190,X45657247X,Mr.,Don899,Lionel365,Larkin917,,,,black,nonhispanic,M,Palmer  Massachusetts  US,620 Labadie Ville,Boston,Massachusetts,Suffolk County,25025,02151,42.38886672579337,-71.09484304183884,63122.38,4587.93,60405
0560cc48-4cdd-d9ff-997f-a566b61660e6,2010-09-15,,999-87-8720,S99972518,,,Cristopher265,Lamar193,Hickle134,,,,white,nonhispanic,M,Worcester  Massachusetts  US,816 Wunsch Stravenue Unit 44,Bridgewater,Massachusetts,Plymouth County,25023,02324,41.97131234545069,-70.9466687515018,35590.69,2150.40,121469
d92a23b6-4bd6-3ca3-d2c2-ccc78bb3d8fe,1999-02-19,,999-92-1123,S99976293,X91291731X,Mr.,Arturo47,,Ocampo729,,,,white,hispanic,M,Havana  Havana  CU,594 Bergnaum Street Unit 77,West Springfield,Massachusetts,Hampden County,25013,01089,42.155445986465715,-72.60600321112011,68374.63,25168.91,37220
469f0bd7-3cbf-5eea-c395-ed7de402c75e,1978-07-02,,999-18-5861,S99946815,X83054164X,Mrs.,Marline710,Leo278,Brekke496,,O'Kon634,M,black,nonhispanic,F,Pembroke  Massachusetts  US,113 Koss Ferry,Wilmington,Massachusetts,Middlesex County,25017,01887,42.52157360996508,-71.13352739280839,270314.64,424986.08,30844
c351400a-6d55-007d-b5df-d51b9695cee4,2024-08-11,,999-23-9833,,,,Maureen515,Cherrie404,Ziemann98,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,157 Roberts Arcade,Newton,Massachusetts,Middlesex County,25017,02468,42.39202875810075,-71.28833571223925,8183.83,1007.80,54798
f6655e55-d4e3-c666-6de9-93a806532b38,1969-08-09,,999-76-6692,S99988433,X80734095X,Mr.,Walter473,Jesse626,West559,,,S,white,nonhispanic,M,Agawam  Massachusetts  US,687 Collins Lodge,Great Barrington,Massachusetts,Berkshire County,25003,01230,42.25988277887908,-73.31154923278073,235757.76,0.00,63793
8efc2815-203c-cbdd-4a85-d9e69de1f35a,1987-08-18,,999-78-2948,S99946638,X06326059X,Mr.,Alejandro916,Lucas404,Olivas524,,,M,white,hispanic,M,Caguas  Puerto Rico  PR,884 McDermott Port Unit 71,Taunton,Massachusetts,Bristol County,25005,02780,41.939350831140686,-71.09448175310719,86280.01,66107.93,54102
45b9c39e-7acb-0760-049e-6a97c5da6f37,1995-12-01,,999-54-5516,S99918710,X21842287X,Mr.,Emanuel231,Ronald408,Fisher429,,,M,white,hispanic,M,Rochester  Massachusetts  US,460 Reichel Trailer,West Springfield,Massachusetts,Hampden County,25013,01089,42.10448893904793,-72.6602056137834,5573.74,64143.24,11109
4ba96317-3f3c-4653-11b1-09b6df5ee293,2002-03-25,,999-80-7308,S99985251,X69655452X,Ms.,Patrick786,,Lehner980,,,,black,nonhispanic,F,Harvard  Massachusetts  US,450 Wyman Promenade,Middleborough,Massachusetts,Plymouth County,,00000,41.91359178926734,-70.82936837546698,51801.81,195327.42,622118
